Name,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
New Navin Enterprises Ltd.,+256772422775,https://wa.me/256772422775,Hardware store,Mbarara,"9MV6+RGJ, Makhan singh street",22,High,no,Not contacted,
Apollo Hardware,+256702195642,https://wa.me/256702195642,Hardware store,Jinja,"C6H7+P4J, Oboja Rd",20,High,no,Not contacted,
Genius plumbing services and contractors,+256754351876,https://wa.me/256754351876,Plumber,Kampala,Bawalakata Rd,19,Medium,no,Not contacted,
L.A house of plumbing,+256789097468,https://wa.me/256789097468,Plumber,Entebbe,,17,Medium,no,Not contacted,
Lonas engineering works (U) ltd,+256770582617,https://wa.me/256770582617,Construction company,Jinja,"Busoga house, Main St",17,Medium,no,Not contacted,
Patwin plumbing solutions co.Ltd,+256757228801,https://wa.me/256757228801,Plumber,Kampala,near bahai temple,13,Medium,no,Not contacted,
Barya Hardware,+256701530793,https://wa.me/256701530793,Hardware store,Mbarara,9MX7+288,13,Medium,no,Not contacted,
WAMPAMBA MODERN PLUMBERS,+256776616997,https://wa.me/256776616997,Plumber,Kampala,,7,Medium,no,Not contacted,
Klean plumbers Kampala Ug,+256701748090,https://wa.me/256701748090,Plumber,Kampala,,6,Medium,no,Not contacted,
SJ CONSTRUCTIONS COMPANY LTD,+256701984034,https://wa.me/256701984034,Construction company,Entebbe,mayors gardens,6,Medium,no,Not contacted,
STRUFIX CONTRACTORS (U) LTD,+256777702745,https://wa.me/256777702745,Construction company,Soroti,"Plot 8, Akisim Road",6,Medium,no,Not contacted,
Jemo Solutions Plumbing Store,+256787577983,https://wa.me/256787577983,Hardware store,Soroti,Market Ln,6,Medium,no,Not contacted,
BAWA PLUMBING SOLUTIONS JINJA CITY UGANDA,+256701035384,https://wa.me/256701035384,Plumber,Jinja,"Central Market, Alidina Rd",5,Medium,no,Not contacted,
TIM PLUMBERS,+256706775233,https://wa.me/256706775233,Plumber,Jinja,Entebbe road Kawuku-nakawuka road,5,Medium,no,Not contacted,
God's plan plumbing shop,+256781078628,https://wa.me/256781078628,Plumbing supply store,Mbarara,,5,Medium,no,Not contacted,
Ave Maria Hardware,+256785737081,https://wa.me/256785737081,Plumbing supply store,Fort Portal,Kahiju Fort Portal,5,Medium,no,Not contacted,
AVAILABLE PLUMBERS UG,+256726050233,https://wa.me/256726050233,Plumber,Jinja,,4,Low,no,Not contacted,
BUM PLUMBING AND WATER SYSTEMS COMPANY (U) LTD,+256706750821,https://wa.me/256706750821,Corporate office,Jinja,Pilkington Rd,4,Low,no,Not contacted,
H & RAY PLUMBING CENTER,+256777106906,https://wa.me/256777106906,Hardware store,Fort Portal,mukitembe Road,4,Low,no,Not contacted,
Ozarks Engineering Ltd,+256780947075,https://wa.me/256780947075,General contractor,Kampala,Kavulu Cl,3,Low,no,Not contacted,
Geem Plumbing solutions,+256703644825,https://wa.me/256703644825,Plumber,Kampala,Ebenezer Cl,3,Low,no,Not contacted,
MUHOOLI PLUMBING SERVICES,+256708899021,https://wa.me/256708899021,Plumber,Kampala,Sentema Rd,3,Low,no,Not contacted,
KANDE SENIOR PLUMBERS,+256752679920,https://wa.me/256752679920,Plumber,Entebbe,2FX7+6F8,3,Low,no,Not contacted,
Biodigester Kings Uganda,+256757870378,https://wa.me/256757870378,Construction company,Entebbe,Kasenyi Road,3,Low,no,Not contacted,
Bum Plumbing And Home Water Systems Co. (U) ltd,+256706032860,https://wa.me/256706032860,Water works,Jinja,8HXM+22M,3,Low,no,Not contacted,
JK NAPOLEON PLUMBING SOLUTIONS,+256741856326,https://wa.me/256741856326,Plumbing supply store,Jinja,Market Square Rd,3,Low,no,Not contacted,
Master Plumbers,+256702446870,https://wa.me/256702446870,Plumber,Jinja,Namasuba Entebbe rd,3,Low,no,Not contacted,
Cw plumbing services,+256787020621,https://wa.me/256787020621,Plumbing supply store,Kampala,bukasa zone,2,Low,no,Not contacted,
LOBE BUILDER'S POINT LIMITED (HARDWARE SHOP),+256759234998,https://wa.me/256759234998,Plumber,Kampala,Kamuli Rd,2,Low,no,Not contacted,
K51 plumbing solutions,+256755107451,https://wa.me/256755107451,Plumber,Kampala,Luwum St,2,Low,no,Not contacted,
V& S Plumbers,+256750485062,https://wa.me/256750485062,Plumber,Kampala,1800 Namilyango Rd,2,Low,no,Not contacted,
NXT CONSTRUCTION COMPANY,+256786768872,https://wa.me/256786768872,Construction company,Entebbe,Bunono,2,Low,no,Not contacted,
Smart plumbers and water solution ltd,+256751474537,https://wa.me/256751474537,Plumber,Jinja,NDEJJE LUFUKA,2,Low,no,Not contacted,
Zimshafpy plumber,+256701147495,https://wa.me/256701147495,Plumber,Jinja,,2,Low,no,Not contacted,
WATERPOL PLUMBING SERVICES LTD,+256753884041,https://wa.me/256753884041,Plumbing supply store,Jinja,Nabugabo Road,2,Low,no,Not contacted,
Five Star Plumbers Limited,+256778500575,https://wa.me/256778500575,Irrigation equipment supplier,Jinja,"Penn Station, 7th street",2,Low,no,Not contacted,
Drainage Cleaning Plumbers Kampala,+256702869147,https://wa.me/256702869147,Training center,Jinja,Kampala Rd,2,Low,no,Not contacted,
Plumbing World Kiteezi,+256757788413,https://wa.me/256757788413,Plumber,Jinja,,2,Low,no,Not contacted,
RAYMON PLUMBING CONTRACTORS,+256702687033,https://wa.me/256702687033,Water works,Mbarara,Mbarara and country wide,2,Low,no,Not contacted,
Gestic Technical Services/Plumbers {GTS},+256703175061,https://wa.me/256703175061,Plumber,Mbarara,,2,Low,no,Not contacted,
