Name,Segment,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
Max hardware group,Hardware,+256759828016,https://wa.me/256759828016,Hardware store,Kampala,34/36 Mulwana Rd,125,High,no,,
ADRATH SUPPLIES HARDWARE,Hardware,+256753086848,https://wa.me/256753086848,Hardware store,Kampala,Plot 34 Allen Road / 38 Nakivubo Rd,125,High,no,,
Lumala General Agencies,Hardware,+256754122754,https://wa.me/256754122754,Hardware store,Entebbe,Kampala - Entebbe Rd,111,High,no,,
Sunsilk Ltd,Hardware,+256757614014,https://wa.me/256757614014,Hardware store,Jinja,42 Oboja Rd,62,High,no,,
Big supply hardware investments,Hardware,+256772341333,https://wa.me/256772341333,Hardware store,Lira,Odokomit,62,High,no,,
Bugolobi Hardware City,Hardware,+256706910001,https://wa.me/256706910001,Hardware store,Kampala,"Mulwana Kibira Rd, Bugolobi",61,High,no,,
Vek General Hardware Ltd,Hardware,+256759804545,https://wa.me/256759804545,Hardware store,Kampala,,44,High,no,,
NOVO ENTERPRISES LTD,Hardware,+256704188177,https://wa.me/256704188177,Hardware store,Tororo,"Plot 3, 5 Bazar Street",42,High,no,,
Kawuma family hardware,Hardware,+256708863283,https://wa.me/256708863283,Hardware store,Kampala,Nakivubo Rd,32,High,no,,
Apollo Hardware,Hardware,+256702195642,https://wa.me/256702195642,Hardware store,Jinja,"C6H7+P4J, Oboja Rd",20,High,no,,
Badrinath Hardware,Hardware,+256759802232,https://wa.me/256759802232,Hardware store,Iganga,,20,High,no,,
Hardware & Concrete works,Hardware,+256759552657,https://wa.me/256759552657,Construction material wholesaler,Mbarara,,20,High,no,,
MAITRI ENTERPRISES LTD,Hardware,+256752189666,https://wa.me/256752189666,Hardware store,Arua,2WG6+7HJ,15,Medium,no,,
Valuni power centre jinja,Hardware,+256705996450,https://wa.me/256705996450,Hardware store,Jinja,C6R7+QMG,14,Medium,no,,
Sege Hardware Workshop,Hardware,+256772444912,https://wa.me/256772444912,Hardware store,Tororo,Nagongera Rd,13,Medium,no,,
"Enwa Hardware Ltd, Lira",Hardware,+256780334972,https://wa.me/256780334972,Hardware store,Lira,Etwop Bala Rd,12,Medium,no,,
SOLID UGANDA LIMITED.,Hardware,+256763235435,https://wa.me/256763235435,Hardware store,Gulu,Alokolum Rd,12,Medium,no,,
Mahi Holdings Gulu,Hardware,+256775935971,https://wa.me/256775935971,Hardware store,Gulu,"Q852+M96, Kampala-Gulu Hwy",11,Medium,no,,
Hardware Home (U) Ltd,Hardware,+256776805087,https://wa.me/256776805087,Hardware store,Kampala,"Mbogo Road 1, Najjera",9,Medium,no,,
Scoffield Hardware,Hardware,+256753284284,https://wa.me/256753284284,Hardware store,Jinja,13 Iganga Rd,8,Medium,no,,
Reliance trading co ltd,Hardware,+256741504944,https://wa.me/256741504944,Hardware store,Iganga,Oboja Dr,6,Medium,no,,
Jemo Solutions Plumbing Store,Hardware,+256787577983,https://wa.me/256787577983,Plumbing supply store,Soroti,Market Ln,6,Medium,no,,
BANYWANI HARDWARE CENTRE LTD,Hardware,+256703189754,https://wa.me/256703189754,Hardware store,Fort Portal,Babiha Road,6,Medium,no,,
Ollacon Hardware,Hardware,+256708559095,https://wa.me/256708559095,Hardware store,Entebbe,,5,Medium,no,,
Busiki General Stores,Hardware,+256754663466,https://wa.me/256754663466,Hardware store,Jinja,Scindia Rd,5,Medium,no,,
Lira Good Grace Hardware,Hardware,+256774037778,https://wa.me/256774037778,Hardware store,Lira,Aroma Lane,5,Medium,no,,
Mocak General Hardware,Hardware,+256701284661,https://wa.me/256701284661,Hardware store,Mbarara,Makhan Singh Street,5,Medium,no,,
Ave Maria Hardware,Hardware,+256785737081,https://wa.me/256785737081,Plumbing supply store,Fort Portal,"Kahiju, Fort Portal",5,Medium,no,,
Heavens General Hardware,Hardware,+256754823616,https://wa.me/256754823616,Hardware store,Kampala,Bukasa Rd,5,Medium,no,,
"macvin general hardware ( kireka, namugongo road)",Hardware,+256706867909,https://wa.me/256706867909,Hardware store,Kampala,,4,Low,no,,
Ave maria,Hardware,+256778058717,https://wa.me/256778058717,Hardware store,Entebbe,3GC9+W3,4,Low,no,,
CHANTAL GENERAL HARDWARE LTD,Hardware,+256774414323,https://wa.me/256774414323,Hardware store,Kampala,Kyanja Ring Rd,4,Low,no,,
Zuba Hardware,Hardware,+256775244554,https://wa.me/256775244554,Hardware store,Kampala,8HW3+86H,4,Low,no,,
MUJJAYO ENTERPRISE MUSIMA,Hardware,+256755300015,https://wa.me/256755300015,Building materials store,Jinja,Musima,4,Low,no,,
BK Hardware Store,Hardware,+256753587039,https://wa.me/256753587039,Hardware store,Kampala,"9JQ3+57R, Namugongo",4,Low,no,,
Muyindi General Hardware,Hardware,+256756447697,https://wa.me/256756447697,Hardware store,Kampala,"8MM2+HRG, Road",3,Low,no,,
Budasiyane General Hardware,Hardware,+256701640230,https://wa.me/256701640230,Hardware store,Entebbe,Entebbe Katabi,3,Low,no,,
Plan and Build Hardware,Hardware,+256700324670,https://wa.me/256700324670,Hardware store,Entebbe,,3,Low,no,,
MUKASA GENERAL HARDWARE,Hardware,+256706454503,https://wa.me/256706454503,Home goods store,Entebbe,"3GH8+M5C, Kasenyi Road",3,Low,no,,
Akk Hardware,Hardware,+256701407839,https://wa.me/256701407839,Home goods store,Mukono,9M38+268,3,Low,no,,
Shree Balaji Hardware Ltd,Hardware,+256777683103,https://wa.me/256777683103,Hardware store,Soroti,"Plot 6/8, Cementry Road, Old Mbale Rd",3,Low,no,,
RIDDHI HARDWARE,Hardware,+256773457365,https://wa.me/256773457365,Hardware store,Soroti,Market St,3,Low,no,,
Sterling Hardware,Hardware,+256759338855,https://wa.me/256759338855,Hardware store,Arua,2WC6+FMJ,3,Low,no,,
Kinoni Hardware,Hardware,+256759843945,https://wa.me/256759843945,Building materials store,Mbarara,"9MV7+XJQ, Bishop Willis Rd",3,Low,no,,
Sophia General Hardware Najjera Branch,Hardware,+256782031344,https://wa.me/256782031344,Hardware store,Kampala,"Mbogo Road 1, Najjera",3,Low,no,,
RIDGEWAYS GENERAL HARDWARE,Hardware,+256703627966,https://wa.me/256703627966,Hardware store,Entebbe,Garuga Road,2,Low,no,,
BOREK Hardware,Hardware,+256702404992,https://wa.me/256702404992,Hardware store,Entebbe,"3F7F+QH8, Portal Rd",2,Low,no,,
Kayanja general hard ware,Hardware,+256783562233,https://wa.me/256783562233,Hardware store,Entebbe,"4G78+RJJ, Kampala - Entebbe Rd",2,Low,no,,
Jubili General Hardware,Hardware,+256759583249,https://wa.me/256759583249,Hardware store,Jinja,Lubas Rd,2,Low,no,,
ASTONA GENERAL HARDWARE,Hardware,+256786829941,https://wa.me/256786829941,Hardware store,Soroti,"Plot 67, Solot Avenue",2,Low,no,,
Grace innol enterprises,Hardware,+256774103263,https://wa.me/256774103263,Hardware store,Soroti,"PJ7C+VQX, Market St",2,Low,no,,
Kisori impex ltd,Hardware,+256740573033,https://wa.me/256740573033,Hardware store,Soroti,"Cementry Road, Juakali",2,Low,no,,
Dada Hardware,Hardware,+256776702580,https://wa.me/256776702580,Hardware store,Lira,21 Bala Rd,2,Low,no,,
Awang Hardware,Hardware,+256784277673,https://wa.me/256784277673,Hardware store,Gulu,Plot 11 Awich,2,Low,no,,
All Weather Enterprises,Hardware,+256787161205,https://wa.me/256787161205,Hardware store,Arua,Plot 9 Duka Rd,2,Low,no,,
