Name,Phone,Email,Company,LineType,CanWhatsApp,Segment,Category,Area,Address,Reviews,Priority,WebCheck,PhoneLocal,MapsUrl,Status,Notes
St. Joseph Girls S.S.S Nsambya,+256414267847,,Education · Kampala,landline,no,School / Education,Education,Kampala,"Nsambya, Kampala/ P.O. Box 6091 Nsambya Estate Rd",75,High,Confirmed,041 4267847,https://www.google.com/maps/search/St.+Joseph+Girls+S.S.S+Nsambya+Nsambya%2C+Kampala%2F+P.O.+Box+6091+Nsambya+Estate+Rd+Kampala+Uganda,Not called,
Makerere Business Training Center,+256712494150,,University · Kampala,mobile,yes,School / Education,University,Kampala,"Crown House, Bombo Rd",34,High,Confirmed,0712 494150,https://www.google.com/maps/search/Makerere+Business+Training+Center+Crown+House%2C+Bombo+Rd+Kampala+Uganda,Not called,
Nansana St. Joseph's SS,+256704889130,,Educational institution · Nansana,mobile,yes,School / Education,Educational institution,Nansana,Kampala-Hoima,32,High,Confirmed,0704 889130,https://www.google.com/maps/search/Nansana+St.+Joseph%27s+SS+Kampala-Hoima+Kampala+Uganda,Not called,
Winston Standard Secondary School - Najjanankumbi,+256414270760,,Education · Kampala,landline,no,School / Education,Education,Kampala,"Najjanakumbi, opp. Mirambi Stage/P.O.Box 12858",19,Medium,Confirmed,041 4270760,https://www.google.com/maps/search/Winston+Standard+Secondary+School+-+Najjanankumbi+Najjanakumbi%2C+opp.+Mirambi+Stage%2FP.O.Box+12858+Kampala+Uganda,Not called,
MIDFIELD SECONDARY SCHOOL,+256773097811,,Education center · Kampala,mobile,yes,School / Education,Education center,Kampala,"7HRC+7F3, Entebbe Road",15,Medium,Confirmed,0773 097811,https://www.google.com/maps/search/MIDFIELD+SECONDARY+SCHOOL+7HRC%2B7F3%2C+Entebbe+Road+Kampala+Uganda,Not called,
MITA College Kawempe,+256772669350,,Educational institution · Kampala,mobile,yes,School / Education,Educational institution,Kampala,9HP2+2MF,15,Medium,Confirmed,0772 669350,https://www.google.com/maps/search/MITA+College+Kawempe+9HP2%2B2MF+Kampala+Uganda,Not called,
Kheaza Preparatory School,+256414576105,,Preschool · Kampala,landline,no,School / Education,Preschool,Kampala,9H8M+CJ2,14,Medium,Confirmed,041 4576105,https://www.google.com/maps/search/Kheaza+Preparatory+School+9H8M%2BCJ2+Kampala+Uganda,Not called,
Peak Kindergarten,+256703679213,,Kindergarten · Kampala,mobile,yes,School / Education,Kindergarten,Kampala,Kisaasi - Kyanja Rd,13,Medium,Confirmed,0703 679213,https://www.google.com/maps/search/Peak+Kindergarten+Kisaasi+-+Kyanja+Rd+Kampala+Uganda,Not called,
Career Institute,+256414251208,,Aviation training institute · Kampala,landline,no,School / Education,Aviation training institute,Kampala,P.O.Box 23711 Nasser Rd,13,Medium,Confirmed,041 4251208,https://www.google.com/maps/search/Career+Institute+P.O.Box+23711+Nasser+Rd+Kampala+Uganda,Not called,
Apple Skills Institute,+256200904026,,Educational institution · Kampala,landline,no,School / Education,Educational institution,Kampala,"Tagy Hotel, Plot 6B Berkeley Rd",11,Medium,Confirmed,0200 904026,https://www.google.com/maps/search/Apple+Skills+Institute+Tagy+Hotel%2C+Plot+6B+Berkeley+Rd+Kampala+Uganda,Not called,
