Name,Phone,SecondPhone,Email,Line,Segment,Category,Area,Address,Reviews,Priority,Note,Status,Notes
Makerere Business Training Center,+256712494150,,,mobile,School / Education,University,Kampala,"Crown House, Bombo Rd",34,High,Their old site mbtcug.com no longer resolves. The domain has lapsed.,Not called,
Nansana St. Joseph's SS,+256704889130,,,mobile,School / Education,Educational institution,Nansana,Kampala-Hoima,32,High,,Not called,
Winston Standard Secondary School - Najjanankumbi,+256751633924,+256414270760,,mobile,School / Education,Education,Kampala,"Najjanakumbi, opp. Mirambi Stage/P.O.Box 12858",19,Medium,"Mobile 0772 894884 and WhatsApp 0751 633924 found in a school directory, not yet confirmed. Landline is the number from Maps.",Not called,
MIDFIELD SECONDARY SCHOOL,+256773097811,,,mobile,School / Education,Education center,Kampala,"7HRC+7F3, Entebbe Road",15,Medium,,Not called,
MITA College Kawempe,+256772669350,,,mobile,School / Education,Educational institution,Kampala,9HP2+2MF,15,Medium,,Not called,
Kheaza Preparatory School,+256414576105,,,landline,School / Education,Preschool,Kampala,9H8M+CJ2,14,Medium,,Not called,
Peak Kindergarten,+256703679213,,,mobile,School / Education,Kindergarten,Kampala,Kisaasi - Kyanja Rd,13,Medium,,Not called,
Career Institute,+256772423212,+256414251208,samsonkaramagi@gmail.com,mobile,School / Education,Aviation training institute,Kampala,P.O.Box 23711 Nasser Rd,13,Medium,Their old site careerinstituteug.com has expired and the domain is now for sale. Contact is Samson Karamagi (listed by IATA).,Not called,
Apple Skills Institute,+256200904026,,,landline,School / Education,Educational institution,Kampala,"Tagy Hotel, Plot 6B Berkeley Rd",11,Medium,,Not called,
Kawempe Royal College School,+256772401668,,,mobile,School / Education,Educational institution,Kawempe,Kawempe Royal College School,8,Medium,,Not called,
Kampala Smart School,+256776182222,,,mobile,School / Education,Education center,Nakawa,Plot 1 Vubyabirenge Cl,7,Medium,Their old site kampalasmartschool.com no longer resolves. The domain has lapsed.,Not called,
CROWN JUNIOR SCHOOL NSAMBYA,+256703151714,,,mobile,School / Education,Educational institution,Makindye,Nsambya Kevina,6,Medium,,Not called,
Springdales EARLY CHILDHOOD School,+256393264018,,,landline,School / Education,Preschool,Kampala,"Springdales, Plot 1 Mabua Rd",4,Low,,Not called,
Apple Kids Nursery & Daycare Centre,+256773842222,,,mobile,School / Education,Nursery school,Kampala,9H3V+4RH,4,Low,,Not called,
"SPRINGS EDUCATION SERVICES, Ntinda",+256702834748,,,mobile,School / Education,Educational institution,Ntinda / Kisaasi,"Near Harus driving school head office, Mumbejja close, Ntinda - Kisaasi Rd",4,Low,,Not called,
Marigold Early Learning Center,+256772631659,,,mobile,School / Education,Preschool,Ntinda / Kisaasi,Ntinda - Kisaasi Rd,4,Low,,Not called,
Music Academy Ntinda,+256759433774,,,mobile,School / Education,Music college,Ntinda / Kisaasi,"9J28+86X, Ntinda - Kisaasi Rd",4,Low,,Not called,
Safari Kindergarten,+256783332332,,,mobile,School / Education,Kindergarten,Kampala,Bukoto St,3,Low,,Not called,
Wintercoals International School,+256393248061,,,landline,School / Education,Kindergarten,Ntinda / Kisaasi,5b Komamboga 2330,3,Low,,Not called,
Ladybird International PreSchool,+256200923818,,,landline,School / Education,Preschool,Ntinda / Kisaasi,Mawanda Rd,3,Low,,Not called,
Handy-Women Skills School Centre,+256776997766,,,mobile,School / Education,Training center,Ntinda / Kisaasi,"Ntinda Complex Innovation Village, Ntinda - Kisaasi Rd",3,Low,,Not called,
Carmel International School,+256772571778,,,mobile,School / Education,Kindergarten,Kampala,Plot 32 Magulu Cl,2,Low,,Not called,
Valley View Kindergarten - Naalya,+256780686572,,,mobile,School / Education,Nursery school,Kampala,Resident Drive,2,Low,,Not called,
Good Shepered Nursery And Primary Sch.,+256752617104,,,mobile,School / Education,Nursery/primary school,Rubaga,,2,Low,,Not called,
Concerted College School-Ntinda,+256788910585,,,mobile,School / Education,College,Ntinda / Kisaasi,"Concerted College Ntinda, 277 A.Kiwanuka Rd",2,Low,,Not called,
"Lubaga Metropolitan Business, Technical & Vocational Institute",+256758502366,,,mobile,School / Education,Vocational school,Kampala,Plot 3 Rubaga Rd,2,Low,,Not called,
Sure Start Kindergarten & Pre School,+256414698577,,,landline,School / Education,Preschool,Kampala,9H4W+H3R,1,Low,,Not called,
Daffy Ducks Nursery School,+256786743132,,,mobile,School / Education,Nursery school,Kampala,"9H3R+H6C, Northern Bypass",1,Low,,Not called,
New Friendly Nursery School,+256752812676,,,mobile,School / Education,Plant nursery,Kampala,8HFC+67R,1,Low,,Not called,
Jamia Nursery School,+256780681420,,,mobile,School / Education,Education center,Rubaga,22 Rubaga Rd,1,Low,,Not called,
Glory vocational training center,+256755979290,,,mobile,School / Education,Vocational school,Kampala,,1,Low,,Not called,
OKWANG TECHNICAL INSTITUE,+256393255330,,,landline,School / Education,College,Kampala,"8HHM+3QH, OKWANG SUB-COUNTY",1,Low,,Not called,
SHINE Consult overseas education consultants,+256751663692,,,mobile,School / Education,Educational consultant,Kampala,"Equatoria Mall Suite 248, Bombo Rd",1,Low,,Not called,
St. Peter's Secondary School - Nsambya,+256414267846,,,landline,School / Education,High school,Kampala,Nsambya Estate Rd,0,Low,,Not called,
Old Kampala S.S.S,+256414235010,,,landline,School / Education,High school,Kampala,"8H88+8XP, Factory Rd",0,Low,,Not called,
Kampala High School,+256708188219,,,mobile,School / Education,High school,Kampala,8HF8+HJ3,0,Low,,Not called,
St Janan Luwum Secondary School,+256704912385,,,mobile,School / Education,High school,Kampala,"8H2X+M4W, Kikubamutwe Mbogo Rd",0,Low,,Not called,
City High School,+256414341872,,,landline,School / Education,High school,Kampala,P.O.Box 4405 Baskerville Ave,0,Low,,Not called,
Katwe Noor Secondary School,+256772591988,,,mobile,School / Education,Religious school,Kampala,,0,Low,,Not called,
Bukoto High School,+256774941781,,,mobile,School / Education,High school,Kampala,"Bukoto Market, 48a Bukoto Kisasi Rd",0,Low,,Not called,
Muyenga High School,+256701860746,,,mobile,School / Education,High school,Kampala,8J36+J8J,0,Low,,Not called,
Crane Hill Secondary School,+256776499382,,,mobile,School / Education,Secondary school,Kampala,8HV3+8MQ,0,Low,,Not called,
Universal High School - Kisaasi,+256772436454,,,mobile,School / Education,High school,Kampala,"2Km Off Bukoto Trading Centre, P O Box 23766 Kisaasi - Kyanja Rd",0,Low,,Not called,
Nsambya Secondary School,+256703606500,,,mobile,School / Education,Senior high school,Kampala,"7HVR+5H8, Gogonya Rd",0,Low,,Not called,
Mulago High School,+256702937662,,,mobile,School / Education,High school,Kampala,Apostle bunjo's offices,0,Low,,Not called,
"Goshen High School, Uganda",+256756137137,,,mobile,School / Education,High school,Kampala,"Plot 1, Goshen Road",0,Low,,Not called,
Samson Memorial Secondary school,+256700679221,,,mobile,School / Education,High school,Kampala,9H4M+54W,0,Low,,Not called,
Devine High School,+256782817895,,,mobile,School / Education,High school,Kampala,ALONG MPEREWE KITEZI ROAD,0,Low,,Not called,
Kansanga Secondary School,+256700438395,,,mobile,School / Education,High school,Kampala,"PO Box 336, Mitala Road",0,Low,,Not called,
Sekanyonyi Secondary School Mityana,+256777505133,,,mobile,School / Education,Secondary school,Kampala,,0,Low,,Not called,
Malcolm x senior secondary school.,+256705991752,,,mobile,School / Education,Higher secondary school,Kampala,Malcolm x senior secondary school west kifamba zone,0,Low,,Not called,
Ndeeba Secondary School,+256752635990,,,mobile,School / Education,Secondary school,Kampala,,0,Low,,Not called,
"New Styles Secondary School, Kawaala",+256772500785,,,mobile,School / Education,High school,Kampala,,0,Low,,Not called,
St. Francis Senior Secondary School,+256772681402,,,mobile,School / Education,Senior high school,Kampala,9HC5+57J,0,Low,,Not called,
Sudais Muslim Secondary School,+256702524750,,,mobile,School / Education,Religious school,Kampala,Bwera-Sesele,0,Low,,Not called,
American International School Kampala,+256704309825,,,mobile,School / Education,International school,Kampala,Spraggon Cl,0,Low,,Not called,
Khulafa Islamic Secondary School,+256702883108,,,mobile,School / Education,Religious school,Kampala,"8H5J+M2X, Entebbe Road",0,Low,,Not called,
Makindye Parents Senior Secondary School,+256752615056,,,mobile,School / Education,High school,Kampala,7HQG+6V5,0,Low,,Not called,
Gayaza Road Seondary School,+256312274118,,,landline,School / Education,Secondary school,Kampala,"9H7G+6H8, Gayaza -Kampala Rd",0,Low,,Not called,
Newcastle High School,+256414268425,,,landline,School / Education,High school,Kampala,Plot 338 / P.O Box 3174,0,Low,,Not called,
Mityana Town School,+256705783544,,,mobile,School / Education,General education school,Kampala,Katakara Rd,0,Low,,Not called,
Sancta Maria Preparatory School,+256772898320,,,mobile,School / Education,Preparatory school,Nakawa,,0,Low,,Not called,
King Of Kings Junior School,+256772866801,,,mobile,School / Education,Primary school,Nakawa,128 Old Kira Rd,0,Low,,Not called,
Stena Hill School,+256772410830,,,mobile,School / Education,High school,Makindye,,0,Low,,Not called,
Lungujja Progressive Primary School,+256772497535,,,mobile,School / Education,Primary school,Rubaga,"8G5R+R5Q, lungujja kosovo",0,Low,,Not called,
Uganda Martyrs Primary School-Lubaga,+256772309404,,,mobile,School / Education,Primary school,Rubaga,Uganda Matyrs primary school,0,Low,,Not called,
Kawempe Day & Boarding Primary School,+256757136852,,,mobile,School / Education,Primary school,Kawempe,9GJW+2X6,0,Low,,Not called,
DIVINE JUNIOR SCHOOL KAWEMPE,+256772385943,,,mobile,School / Education,Junior school,Kawempe,,0,Low,,Not called,
Kakungulu Parents Primary School Kawempe,+256740772377,,,mobile,School / Education,Primary school,Kawempe,Kawempe-Tula Road,0,Low,,Not called,
Kazo Muslim High School,+256772886889,,,mobile,School / Education,Middle school,Kawempe,,0,Low,,Not called,
Kampala HiIl Academy,+256753613815,,,mobile,School / Education,Primary school,Kawempe,9H2J+VPG,0,Low,,Not called,
Indoboli Junior School,+256787872656,,,mobile,School / Education,Primary school,Ntinda / Kisaasi,"Kisaasi Ntinda, Kyanja Rd",0,Low,,Not called,
Springs Junior School,+256700575057,,,mobile,School / Education,Elementary school,Ntinda / Kisaasi,68a Ntinda - Kisaasi Rd,0,Low,,Not called,
Kids world international school Uganda,+256782688894,,,mobile,School / Education,Primary school,Ntinda / Kisaasi,Kisaasi - Kyanja Rd,0,Low,,Not called,
Police Children School Ntinda,+256775266221,,,mobile,School / Education,Elementary school,Ntinda / Kisaasi,34u Ntinda Police Barracks,0,Low,,Not called,
NANSANA MUSLIM PRIMARY SCHOOL,+256755078894,,,mobile,School / Education,Primary school,Nansana,Hoima road,0,Low,,Not called,
The Windsor School,+256414698987,,,landline,School / Education,Primary school,Nansana,,0,Low,,Not called,
Alliance High School - Nansana,+256756624222,,,mobile,School / Education,Middle school,Nansana,9GJF+MR3,0,Low,,Not called,
Hellen visas and study consult,+256770529177,,,mobile,School / Education,Educational consultant,Kampala,Parliament Ave,0,Low,,Not called,
Bashasha and Co. Advocates,+256414257329,,,landline,Consultancy / Professional services,Legal services,Kampala,,28,High,,Not called,
"Tumusiime, Kabega & Co. Advocates",+256414230478,,,landline,Consultancy / Professional services,Legal services,Kampala,Plot 9 Yusuf Lule Road,18,Medium,,Not called,
"MUZIRA Audit, Accounting & Tax Consulting Firm",+256782210277,,,mobile,Consultancy / Professional services,Accounting firm,Kampala,Parliament Ave,17,Medium,,Not called,
Ekirapa & Company Advocates,+256776313571,,,mobile,Consultancy / Professional services,Law firm,Kampala,Portal Ave,17,Medium,,Not called,
SILICON ADVOCATES,+256393206510,,,landline,Consultancy / Professional services,Law firm,Kampala,"plot 36, Kyadondo Road, Nakasero",11,Medium,,Not called,
EFICON Consulting Limited,+256393516950,,,landline,Consultancy / Professional services,Business management consultant,Kampala,"8HCQ+82R, Clement Hill Rd",10,Medium,,Not called,
WEB Advocates & Solicitors,+256756027530,,,mobile,Consultancy / Professional services,Law firm,Kampala,"Nwanzi Courts; Block 3, Ground Floor, John Babiha (Acacia) Ave",9,Medium,,Not called,
Xxl Agency,+256771066993,,,mobile,Consultancy / Professional services,Travel agency,Kampala,"The cube, 208 second floor",9,Medium,,Not called,
Lukwago and Co. Advocates,+256704234674,,,mobile,Consultancy / Professional services,Law firm,Kampala,15A Clement Hill Rd,8,Medium,,Not called,
KSK Associates,+256414237090,,,landline,Consultancy / Professional services,Accounting firm,Kampala,,4,Low,,Not called,
Aequitas Advocates,+256200922551,,,landline,Consultancy / Professional services,Law firm,Kampala,"Plot 18 AD, Houses 7 & 9, Off Kyadondo Rd",4,Low,,Not called,
Alaka & Co. Advocates,+256414673787,,,landline,Consultancy / Professional services,Law firm,Kampala,"Lower Kololo Terrace Road, Plot 1-3 Coral Cres",4,Low,,Not called,
Goldrock & Partners,+256772774455,,,mobile,Consultancy / Professional services,Accounting firm,Kampala,Plot9 Kampala Road,2,Low,,Not called,
Byabakama Kwemda & Associates,+256414342258,,,landline,Consultancy / Professional services,Auditor,Kampala,Plot66 William St,2,Low,,Not called,
M/S Nshimye and Co Advocates,+256782956618,,,mobile,Consultancy / Professional services,Law firm,Kampala,"Impala House 6th Floor Rm 4&5, Kimathi Ave",2,Low,,Not called,
Josh Tax & Consulting Services,+256771654553,,,mobile,Consultancy / Professional services,Tax consultant,Ntinda / Nakawa,Ntinda Business Village,2,Low,,Not called,
Stalworth Consulting Group LLC,+256414220879,,,landline,Consultancy / Professional services,Business management consultant,Kampala,"7 Lourdel Road, Nakasero Hill Rd",1,Low,,Not called,
Sespo waks consults & Accountants,+256700100763,,,mobile,Consultancy / Professional services,Accounting firm,Kampala,"Karl Max Building, Bombo Rd",1,Low,,Not called,
CHUCKLE & CO. Certified Public Accountants,+256772660094,,,mobile,Consultancy / Professional services,Accounting firm,Kampala,Kampala Road Green Land Tower 4th floor Rm 4FO1A,1,Low,,Not called,
RONYE ASSOCIATES,+256702764531,,,mobile,Consultancy / Professional services,Auditor,Kampala,"Plot 1846. Bukoto Kisasi, Nakkazi- Ssali Ln",1,Low,,Not called,
