Name,Segment,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
MUZIRA Audit Accounting & Tax Consulting Firm,Consultancy,+256782210277,https://wa.me/256782210277,Accounting firm,Kampala,Parliament Ave,17,Medium,no,Not contacted,
GAD ROGERS,Consultancy,+256784311866,https://wa.me/256784311866,Media consultant,Entebbe,Kampala - Entebbe Expy,12,Medium,no,Not contacted,
YESU AYEE LONYO ELECTRICAL CIVIL AND PAINTING SERVICES,Consultancy,+256766832646,https://wa.me/256766832646,Engineering consultant,Gulu,Bank Ln,12,Medium,no,Not contacted,
Ruplus Uganda,Consultancy,+256751822234,https://wa.me/256751822234,Financial consultant,Mbarara,9MV3+4QQ,12,Medium,no,Not contacted,
Greenfield Business And Management Consultants,Consultancy,+256784137519,https://wa.me/256784137519,Consultant,Kampala,Jinja Road UMA Show Grounds,10,Medium,no,Not contacted,
Climax Management Ug,Consultancy,+256781159911,https://wa.me/256781159911,Business management consultant,Lira,Lira university road,8,Medium,no,Not contacted,
KELI ACCOUNTANCY & TAXATION SERVICE,Consultancy,+256758608604,https://wa.me/256758608604,Tax preparation service,Kampala,8MX7+69V near Mandela National Stadium,7,Medium,no,Not contacted,
BTG BRIAN OFFICIAL,Consultancy,+256755388263,https://wa.me/256755388263,Consultant,Jinja,,7,Medium,no,Not contacted,
TEF Uganda,Consultancy,+256700719744,https://wa.me/256700719744,Educational consultant,Soroti,PH6W+F2P,7,Medium,no,Not contacted,
Nexus Engineering Company,Consultancy,+256748142229,https://wa.me/256748142229,Engineering consultant,Kampala,,5,Medium,no,Not contacted,
Electra HR Consultancy,Consultancy,+256787484406,https://wa.me/256787484406,Human resource consulting,Kampala,"9JJC+5MQ, Bulabira Rd",5,Medium,no,Not contacted,
TIMO Associates,Consultancy,+256772647622,https://wa.me/256772647622,Accountant,Lira,"Fame City Building, 6/7 Lira - Gulu Rd",4,Low,no,Not contacted,
Guardian Multiservice Axis ltd,Consultancy,+256760974226,https://wa.me/256760974226,Business management consultant,Entebbe,Plot 19 Portal Rd,3,Low,no,Not contacted,
Good News Property Consultants,Consultancy,+256778059780,https://wa.me/256778059780,Real estate consultant,Mukono,,3,Low,no,Not contacted,
Joce Gifted Technologies,Consultancy,+256778355322,https://wa.me/256778355322,Computer consultant,Soroti,Main Street,3,Low,no,Not contacted,
Honest Management Company,Consultancy,+256741444444,https://wa.me/256741444444,Business management consultant,Kampala,"Olive mall, second floor Naalya Rd",2,Low,no,Not contacted,
Mareal Consultancy,Consultancy,+256788923320,https://wa.me/256788923320,Business management consultant,Kampala,"8JG8+9RH, New Port Bell Rd",2,Low,no,Not contacted,
Josh Tax & Consulting Services,Consultancy,+256771654553,https://wa.me/256771654553,Tax consultant,Kampala,Ntinda Business Village,2,Low,no,Not contacted,
