Name,Trade,Phone,WhatsApp,Category,SearchArea,Address,Reviews,Priority,HasWebsiteOnMaps,Status,Notes
AARONS ELECTRICAL SERVICES UG,Electrical,+256708643109,https://wa.me/256708643109,Electrical installation service,Kampala,William St,201,High,no,Not contacted,
ANDE_TECH POWER HUB,Electrical,+256753131509,https://wa.me/256753131509,Electrician,Kampala,,66,High,no,Not contacted,
Icone Electrical,Electrical,+256769463840,https://wa.me/256769463840,Electrician,Kampala,,43,High,no,Not contacted,
volt Electricians,Electrical,+256701854197,https://wa.me/256701854197,Electrical installation service,Kampala,64 Semawata Rd,18,Medium,no,Not contacted,
Jaso Electric Mart,Electrical,+256784838330,https://wa.me/256784838330,Electronics store,Lira,Plot 2B Maruzi Road,13,Medium,no,Not contacted,
SWALLEH ELECTRICAL SERVICES,Electrical,+256782156590,https://wa.me/256782156590,Electrical engineer,Arua,Nyamunuka Town Council High street,7,Medium,no,Not contacted,
SKYPA BUSINESS SOLUTION BUKAYE,Electrical,+256745884779,https://wa.me/256745884779,Electrician,Iganga,Bukaye Kaliro road,7,Medium,no,Not contacted,
KD Technical enterprises ltd,Electrical,+256706504224,https://wa.me/256706504224,Electrician,Mukono,,5,Medium,no,Not contacted,
K-JEREMYX ELECTRICALS,Electrical,+256771092144,https://wa.me/256771092144,Electrician,Tororo,Naguru Dr,5,Medium,no,Not contacted,
Apro-Ben Electrical centre,Electrical,+256772381354,https://wa.me/256772381354,Electronics store,Soroti,"PJ79+WJJ, Soroti-Lira Rd",5,Medium,no,Not contacted,
Powermax electric point,Electrical,+256701698784,https://wa.me/256701698784,Electrical installation service,Kampala,Old Butabika Rd,4,Low,no,Not contacted,
BK ELECTRICAL SERVICES LTD,Electrical,+256706076413,https://wa.me/256706076413,Electrical installation service,Entebbe,Kawafu Road,4,Low,no,Not contacted,
GEAR ELECTRICAL CONTRACTORS LTD,Electrical,+256792355472,https://wa.me/256792355472,Electrical engineer,Kampala,9J28+68R,3,Low,no,Not contacted,
Rwensha Electricals and solar systems,Electrical,+256701394678,https://wa.me/256701394678,Electrical installation service,Mbarara,Mbarara - Masaka Rd,3,Low,no,Not contacted,
Emmanuel Electrical and Solar Power,Electrical,+256783239737,https://wa.me/256783239737,Electrician,Fort Portal,Rukidi III St,3,Low,no,Not contacted,
JC Electrical & Graphic Solutions Lira City,Electrical,+256774979282,https://wa.me/256774979282,Electrical supply store,Lira,Kwania Rd,3,Low,no,Not contacted,
Electrical Engineering,Electrical,+256781512427,https://wa.me/256781512427,Electrician,Kampala,"8MW6+VPJ, Joke's hotel",2,Low,no,Not contacted,
Leqtrix electrical engineering,Electrical,+256789170541,https://wa.me/256789170541,Electrical installation service,Kampala,Plot 35 Robert Mugabe Rd,2,Low,no,Not contacted,
Sparky broz electricals Uganda,Electrical,+256761773289,https://wa.me/256761773289,Electrician,Entebbe,Nanziri close,2,Low,no,Not contacted,
